code,name_ru,match
FINAL_CONSUMPTION,Расходы на конечное потребление,^расходы на конечное потребление$
HOUSEHOLDS,домашних хозяйств,^домашних хозяйств$
GOVERNMENT,органов государственного управления,^органов государственного управления$
GOV_INDIVIDUAL,на индивидуальные товары и услуги,^на индивидуальные товары и услуги$
GOV_COLLECTIVE,на коллективные услуги,^на коллективные услуги$
NPISH,"некоммерческих организаций, обслуживающих домашние хозяйства",^некоммерческих организаций
GROSS_CAPITAL_FORMATION,Валовое накопление,^валовое накопление$
GFCF,валовое накопление основного капитала,^валовое накопление основного капитала$
INVENTORIES,изменение запасов материальных оборотных средств,^изменение запасов
VALUABLES,приобретение минус выбытие ценностей,^приобретение минус выбытие ценностей$
NET_EXPORTS,Чистый экспорт,^чистый экспорт$
EXPORTS,экспорт товаров и услуг,^экспорт товаров и услуг$
IMPORTS,импорт товаров и услуг,^импорт товаров и услуг$
STAT_DISCREPANCY,Статистическое расхождение,^статистическое расхождение$
GDP,Валовой внутренний продукт,^валовой внутренний продукт( методом конечного использования)?$
GDP_PRODUCTION,Валовой внутренний продукт методом производства,^валовой внутренний продукт методом производства$
