date,value,transformation
2000-12-31,2975.27812,level
2001-12-31,3484.9642,level
2002-12-31,4317.64175,level
2003-12-31,5021.71441,level
2004-12-31,6506.05845,level
2005-12-31,7478.74905,level
2006-12-31,9799.09994,level
2007-12-31,12100.04667,level
2008-12-31,15298.5634,level
2009-12-31,19802.5669,level
2010-12-31,23643.1393,level
2011-12-31,26346.274,level
2012-12-31,30784.4632,level
2013-12-31,36158.4595,level
2014-12-31,47019.1248,level
2015-12-31,62011.163684,level
2016-12-31,71823.570852,level
2017-12-31,77919.780888,level
2018-12-31,91259.280645,level
2019-12-31,117169.08552,level
2020-12-31,128308.3454,level
2021-12-31,141136.41448,level
2022-12-31,146312.861479,level
2023-12-31,160048.748692,level
2024-12-31,196023.260237,level
2025-12-31,216944.305474,level
